	0	1	2	3
0	Apr 29th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17938.html	Kansas City	Missouri
1	Apr 29th 2014	http://www.profightdb.com/cards/wwe/main-event-17937.html	Kansas City	Missouri
2	Apr 28th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17936.html	St. Louis	Missouri
3	Apr 28th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17935.html	St. Louis	Missouri
4	Apr 22nd 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17907.html	Hershey	Pennsylvania
5	Apr 22nd 2014	http://www.profightdb.com/cards/wwe/main-event-17906.html	Hershey	Pennsylvania
6	Apr 21st 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17905.html	Baltimore	Maryland
7	Apr 21st 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17904.html	Baltimore	Maryland
8	Apr 15th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17900.html	Nashville	Tennessee
9	Apr 15th 2014	http://www.profightdb.com/cards/wwe/main-event-17899.html	Nashville	Tennessee
0	Apr 14th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17894.html	Birmingham	Alabama
1	Apr 14th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17893.html	Birmingham	Alabama
2	Apr 8th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17862.html	Lafayette	Louisiana
3	Apr 8th 2014	http://www.profightdb.com/cards/wwe/main-event-17861.html	Lafayette	Louisiana
4	Apr 7th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17860.html	New Orleans	Louisiana
5	Apr 7th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17859.html	New Orleans	Louisiana
6	Apr 6th 2014	http://www.profightdb.com/cards/wwe/wrestlemania-xxx-17857.html	New Orleans	Louisiana
7	Mar 31st 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17823.html	Washington	DC
8	Mar 31st 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17822.html	Washington	DC
9	Mar 31st 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17821.html	Washington	DC
