	0	1	2	3
6	Jan 23rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-900.html	Palmetto	Florida
7	Jan 23rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-899.html	Palmetto	Florida
8	Jan 23rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-898.html	Palmetto	Florida
9	Jan 22nd 1995	http://www.profightdb.com/cards/wwf/royal-rumble-3995-38.html	Tampa	Florida
0	Jan 16th 1995	http://www.profightdb.com/cards/wwf/msg-show-jan-3995-5145.html	New York	New York
1	Jan 11th 1995	http://www.profightdb.com/cards/wwf/action-zone-15-15445.html	South Padre Island	Texas
2	Jan 11th 1995	http://www.profightdb.com/cards/wwf/action-zone-14-15444.html	South Padre Island	Texas
3	Jan 11th 1995	http://www.profightdb.com/cards/wwf/action-zone-13-15443.html	South Padre Island	Texas
4	Jan 11th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-439-15405.html	South Padre Island	Texas
5	Jan 11th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-438-15404.html	South Padre Island	Texas
6	Jan 11th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-437-15403.html	South Padre Island	Texas
7	Jan 10th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-437-13255.html	Corpus Christi	Texas
8	Jan 10th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-436-13254.html	Corpus Christi	Texas
9	Jan 10th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-435-13253.html	Corpus Christi	Texas
0	Jan 9th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-897.html	Houston	Texas
1	Jan 9th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-896.html	Houston	Texas
2	Dec 13th 1994	http://www.profightdb.com/cards/wwf/action-zone-12-15442.html	Liberty	New York
3	Dec 13th 1994	http://www.profightdb.com/cards/wwf/action-zone-11-15441.html	Liberty	New York
4	Dec 13th 1994	http://www.profightdb.com/cards/wwf/action-zone-10-15440.html	Liberty	New York
5	Dec 13th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-436-15402.html	Liberty	New York
6	Dec 13th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-435-15401.html	Liberty	New York
7	Dec 13th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-434-15400.html	Liberty	New York
8	Dec 12th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-895.html	Liberty	New York
9	Dec 12th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-894.html	Liberty	New York
0	Dec 12th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-893.html	Liberty	New York
1	Dec 12th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-892.html	Liberty	New York
2	Dec 10th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-434-13252.html	Newark	Delaware
3	Dec 10th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-433-13251.html	Newark	Delaware
4	Dec 10th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-432-13250.html	Newark	Delaware
5	Nov 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-433-15399.html	Lowell	Massachusetts
6	Nov 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-432-15398.html	Lowell	Massachusetts
7	Nov 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-431-15397.html	Lowell	Massachusetts
8	Nov 29th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-431-13246.html	Poughkeepsie	New York
9	Nov 29th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-430-13245.html	Poughkeepsie	New York
0	Nov 29th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-429-13244.html	Poughkeepsie	New York
1	Nov 28th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-891.html	Poughkeepsie	New York
2	Nov 28th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-890.html	Poughkeepsie	New York
3	Nov 26th 1994	http://www.profightdb.com/cards/wwf/msg-show-nov-3994-5144.html	New York	New York
4	Nov 23rd 1994	http://www.profightdb.com/cards/wwf/survivor-series-3994-37.html	San Antonio	Texas
5	Nov 9th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-430-15396.html	Bethlehem	Pennsylvania
6	Nov 9th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-429-15395.html	Bethlehem	Pennsylvania
7	Nov 9th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-428-15394.html	Bethlehem	Pennsylvania
