	0	1
1	Oct 22nd 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1715.html
2	Oct 22nd 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1714.html
3	Oct 21st 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1713.html
4	Oct 21st 2001	http://www.profightdb.com/cards/wwf/no-mercy-3901-127.html
5	Oct 20th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19559.html
6	Oct 16th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1712.html
7	Oct 16th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1711.html
8	Oct 15th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1710.html
9	Oct 15th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1709.html
0	Oct 14th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19560.html
1	Oct 14th 2001	http://www.profightdb.com/cards/wwf/msg-show-oct-3901-5175.html
2	Oct 13th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19562.html
3	Oct 13th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19561.html
4	Oct 9th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1708.html
5	Oct 9th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1707.html
6	Oct 8th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1706.html
7	Oct 8th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1705.html
8	Oct 7th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19564.html
9	Oct 7th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19563.html
0	Oct 6th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19569.html
1	Oct 6th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19567.html
2	Oct 2nd 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1704.html
3	Oct 2nd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1703.html
4	Oct 1st 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1702.html
5	Oct 1st 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1701.html
6	Sep 30th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19570.html
7	Sep 29th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19571.html
8	Sep 25th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1700.html
9	Sep 25th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1699.html
0	Sep 24th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1698.html
1	Sep 24th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1697.html
2	Sep 23rd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1696.html
3	Sep 23rd 2001	http://www.profightdb.com/cards/wwf/unforgiven-3901-126.html
4	Sep 22nd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19573.html
5	Sep 18th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1695.html
6	Sep 18th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1694.html
7	Sep 17th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1693.html
8	Sep 17th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1692.html
9	Sep 14th 2001	http://www.profightdb.com/cards/wwf/smackdown-1691.html
0	Sep 14th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1690.html
1	Sep 10th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1689.html
2	Sep 10th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1688.html
3	Sep 9th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19574.html
4	Sep 8th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19575.html
5	Sep 6th 2001	http://www.profightdb.com/cards/wwf/byte-this-tough-enough-special-16054.html
6	Sep 4th 2001	http://www.profightdb.com/cards/wwf/smackdown-1687.html
7	Sep 4th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1686.html
8	Sep 3rd 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1685.html
9	Sep 3rd 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1684.html
0	Sep 2nd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19576.html
1	Sep 1st 2001	http://www.profightdb.com/cards/wwf/wwf-live-19577.html
2	Aug 28th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1683.html
3	Aug 28th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1682.html
4	Aug 27th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1681.html
5	Aug 27th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1680.html
6	Aug 26th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19578.html
7	Aug 25th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19579.html
8	Aug 24th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19580.html
9	Aug 23rd 2001	http://www.profightdb.com/cards/wwf/smackdown-1679.html
0	Aug 23rd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1678.html
1	Aug 20th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1677.html
2	Aug 20th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1676.html
3	Aug 19th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1675.html
4	Aug 19th 2001	http://www.profightdb.com/cards/wwf/summerslam-3901-125.html
5	Aug 18th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19582.html
6	Aug 17th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19583.html
7	Aug 16th 2001	http://www.profightdb.com/cards/wwf/smackdown-1674.html
8	Aug 16th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1673.html
9	Aug 13th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1672.html
0	Aug 13th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1671.html
1	Aug 12th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19584.html
2	Aug 11th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19585.html
3	Aug 7th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1670.html
4	Aug 7th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1669.html
5	Aug 6th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1668.html
6	Aug 6th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1667.html
7	Aug 5th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19586.html
8	Jul 31st 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1666.html
9	Jul 31st 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1665.html
0	Jul 30th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1664.html
1	Jul 30th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1663.html
2	Jul 29th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19588.html
3	Jul 28th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19589.html
4	Jul 24th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1662.html
5	Jul 24th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1661.html
6	Jul 23rd 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1660.html
7	Jul 23rd 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1659.html
8	Jul 22nd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1658.html
9	Jul 22nd 2001	http://www.profightdb.com/cards/wwf/invasion-124.html
0	Jul 17th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1657.html
1	Jul 17th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1656.html
2	Jul 16th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1655.html
3	Jul 16th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1654.html
4	Jul 15th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19590.html
5	Jul 14th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19591.html
6	Jul 10th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1653.html
7	Jul 10th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1652.html
8	Jul 9th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1651.html
9	Jul 9th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1650.html
0	Jul 8th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19596.html
1	Jul 7th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19609.html
2	Jul 3rd 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1649.html
3	Jul 3rd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1648.html
4	Jul 2nd 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1647.html
5	Jul 2nd 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1646.html
6	Jul 1st 2001	http://www.profightdb.com/cards/wwf/wwf-live-19610.html
7	Jun 26th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1645.html
8	Jun 26th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1644.html
9	Jun 25th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1643.html
0	Jun 25th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1642.html
1	Jun 24th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1641.html
2	Jun 24th 2001	http://www.profightdb.com/cards/wwf/king-of-the-ring-3901-123.html
3	Jun 23rd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19611.html
4	Jun 19th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1640.html
5	Jun 19th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1639.html
6	Jun 18th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1638.html
7	Jun 18th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1637.html
8	Jun 17th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19615.html
9	Jun 16th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19616.html
0	Jun 12th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1636.html
1	Jun 12th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1635.html
2	Jun 11th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1634.html
3	Jun 11th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1633.html
4	Jun 10th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19618.html
5	Jun 10th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19617.html
6	Jun 9th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19619.html
7	Jun 5th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1632.html
8	Jun 5th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1631.html
9	Jun 4th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1630.html
0	Jun 4th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1629.html
1	May 29th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1628.html
2	May 29th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1627.html
3	May 28th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1626.html
4	May 28th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1625.html
5	May 22nd 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1624.html
6	May 22nd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1623.html
7	May 21st 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1622.html
8	May 21st 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1621.html
9	May 20th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1620.html
0	May 20th 2001	http://www.profightdb.com/cards/wwf/judgment-day-3901-122.html
1	May 15th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1619.html
2	May 15th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1618.html
3	May 14th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1617.html
4	May 14th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1616.html
